SMILES,logP,tPSA,MW,SweetSpot
c1cc(ccc1C(=O)CCCN2CCC(CC2)(c3ccc(cc3)Cl)O)F,4.43,40.54,375.1,No
COc1cc(ccc1OCC2CN(CCCO2)Cc3ccc(cc3)Br)Cl,4.78,30.93,439.1,No
COc1cc(ccc1OC[C@@H]2CN(CCO2)Cc3ccc(cc3)Cl)Cl,4.28,30.93,381.1,No
CCOc1ccc(cc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)Cl,4.67,30.93,395.1,No
COc1cc(ccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)Cl,4.28,30.93,381.1,No
COc1ccc(cc1NCC2CN(CCO2)Cc3ccc(cc3)Cl)Cl,4.31,33.73,380.1,No
CCOc1ccccc1OCC2CN(CCCO2)Cc3ccc(cc3)Cl,4.41,30.93,375.2,No
CC1N(C(=O)C(S1)(C)C)CCCCN2CCN(CC2)c3csc4c3ccc(c4)F,4.64,26.79,435.2,No
c1cc(ccc1CN2CCOC(C2)CNc3ccc(cc3O)Cl)Cl,4.01,44.73,366.1,No
CC(=O)c1ccc(cc1OCC2CN(CCCO2)Cc3ccc(cc3)Cl)Cl,4.87,38.77,407.1,No
CCOc1cc(ccc1OCC2CN(CCCO2)Cc3ccc(cc3)Cl)Cl,5.06,30.93,409.1,No
CCOc1ccc(cc1OCC2CN(CCCO2)Cc3ccc(cc3)Cl)Cl,5.06,30.93,409.1,No
CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl,3.72,30.87,326.1,No
CCOc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl,4.02,30.93,361.1,No
CCOc1cc(ccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)Cl,4.67,30.93,395.1,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3cccc(c3Cl)Cl,3.55,44.81,407.1,No
COc1ccc(cc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)[N+](=O)[O-],3.54,74.07,392.1,No
CCOc1cc(ccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)I,4.62,30.93,487,No
Cc1ccc(cc1)N2CCN(CC2)CCNC(=O)c3cccc(c3)OC,2.56,44.81,353.2,Yes
c1ccc(cc1)CC[C@@H]2CN(CCO2)Cc3ccc(cc3)O,3.23,32.7,297.2,No
COc1ccccc1CCC2CN(CCO2)Cc3ccc(cc3)Cl,4.18,21.7,345.1,No
Cc1cc2c(s1)Nc3ccccc3N=C2N4CCN(CC4)C,3.44,30.87,312.1,No
COc1ccc(cc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)F,3.77,30.93,365.1,No
CCOc1ccccc1N2CCN(CC2)Cc3c[nH]c4c3cccc4,3.89,31.5,335.2,No
CCCc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl,4.57,21.7,359.2,No
COc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl,3.63,30.93,347.1,No
COc1ccccc1OCC2CN(CCO2)Cc3ccc(c(c3)Cl)Cl,4.28,30.93,381.1,No
c1cc(ccc1n2cc(cn2)CN3CCN(CC3)c4ccc(cc4)O)Cl,3.55,44.53,368.1,No
CCOc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)[N+](=O)[O-],3.27,74.07,372.2,No
c1ccc(cc1)CC[C@@H]2CN(CCO2)Cc3ccc(cc3)Cl,4.17,12.47,315.1,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3ccccc3Cl,2.9,44.81,373.2,Yes
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3ccc(cc3)Cl,2.9,44.81,373.2,Yes
CCOc1cc(ccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)C#N,3.89,54.72,386.1,No
c1cc2c(ccc(c2nc1)OCC3CN(CCO3)Cc4ccc(cc4)Cl)Cl,4.82,34.59,402.1,No
c1ccc(cc1)CCC2CN(CCO2)Cc3ccc(cc3)OC(F)(F)F,4.42,21.7,365.2,No
CC(C)Oc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl,4.41,30.93,375.2,No
COc1ccc(cc1)CN2CCOC(C2)CCc3ccccc3,3.53,21.7,311.2,No
COCCOc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)Cl,3.65,40.16,391.2,No
COc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3)C(F)(F)F,3.99,30.93,381.2,No
COc1ccccc1SCC2CN(CCO2)Cc3ccc(cc3)Cl,4.34,21.7,363.1,No
c1ccc(cc1)CC[C@@H]2CN(CCO2)Cc3ccc(cc3)OC(F)(F)F,4.42,21.7,365.2,No
c1ccc2c(c1)nc(n2C3CCN(CC3)CCCC(=O)c4ccc(cc4)F)O,4.18,58.36,381.2,No
COc1ccc(cc1OCC2CN(CCO2)Cc3ccccc3)Cl,3.63,30.93,347.1,No
c1ccc(cc1)CC[C@@H]2CN(CCO2)Cc3[nH]c4ccccc4n3,3.4,41.15,321.2,No
c1ccc(cc1)CCC2CN(CCO2)Cc3ccc(cc3)Cl,4.17,12.47,315.1,No
Cc1c(cccn1)OCC2CN(CCCO2)Cc3ccc(cc3)Cl,3.71,34.59,346.1,No
COc1ccc(cc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)N,3.21,56.95,362.1,No
